id,target
801,0
802,1
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,0
828,1
829,0
830,0
831,1
832,0
833,0
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,0
855,0
856,1
857,0
858,0
859,1
860,0
861,0
862,1
863,0
864,1
865,1
866,0
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,0
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,0
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,1
903,0
904,1
905,0
906,1
907,0
908,1
909,1
910,1
911,0
912,1
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,0
921,1
922,0
923,0
924,1
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,0
944,0
945,0
946,0
947,1
948,0
949,0
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,1
965,0
966,0
967,0
968,1
969,1
970,0
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,0
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,0
994,0
995,1
996,0
997,1
998,1
999,1
1000,0
